ticket_id,subject,body,submitted_at
T-1001,Laptop won't turn on,"Hi, my laptop just stopped turning on this morning. It was working fine yesterday. I've tried plugging it in but nothing happens.",2026-03-30 08:12:00
T-1002,Password reset request,"I need to reset my Okta password. I'm locked out and can't get into Slack or email.",2026-03-30 08:45:00
T-1003,Need Adobe Acrobat installed,"Can someone install Adobe Acrobat Pro on my machine? My manager approved it.",2026-03-30 09:01:00
T-1004,VPN keeps disconnecting,"The VPN drops every 20 minutes or so. I'm working from home and it's affecting my calls.",2026-03-30 09:18:00
T-1005,New hire onboarding - Alex Chen,"Please set up accounts for new hire Alex Chen starting April 1st. Role: Marketing Analyst.",2026-03-30 09:30:00
T-1006,Outlook not syncing emails,"My Outlook inbox hasn't updated since yesterday afternoon. I'm missing emails from clients.",2026-03-30 09:47:00
T-1007,Request for dual monitor setup,"I'd like to get a second monitor for my workstation. My manager approved the request.",2026-03-30 10:05:00
T-1008,Suspicious email received,"I received an email asking me to click a link to verify my account. It looks like a phishing attempt.",2026-03-30 10:22:00
T-1009,Printer offline in conference room B,"The printer in conference room B shows as offline. Several people have been unable to print.",2026-03-30 10:38:00
T-1010,OneDrive sync error,"Getting a red X on my OneDrive icon. Files aren't syncing. Error code: 0x8004de40.",2026-03-30 10:55:00
